latitude,longitude,total_rooms,house_value
37.81,-122.28,1237,177500
37.81,-122.28,2914,102100
37.81,-122.28,1207,108300
37.81,-122.29,1745,112500
37.8,-122.28,684,131300
37.81,-122.28,924,162500
37.81,-122.27,210,112500
37.81,-122.28,340,112500
37.81,-122.28,386,137500
37.81,-122.28,948,118800
37.81,-122.28,773,98200
37.81,-122.27,880,118800
37.81,-122.27,875,162500
37.8,-122.27,105,137500
37.8,-122.27,249,500001
37.8,-122.27,994,162500
37.8,-122.28,215,137500
37.8,-122.28,96,162500
37.79,-122.27,1055,187500
37.8,-122.27,1715,179200
37.8,-122.26,5329,130000
37.82,-122.26,4596,183800
37.81,-122.26,335,125000
37.82,-122.26,3682,170000
37.82,-122.26,3633,193100
37.81,-122.25,4656,257800
37.81,-122.25,5806,273400
37.81,-122.25,854,237500
37.81,-122.25,2155,350000
37.81,-122.26,5871,335700
37.82,-122.24,1509,313400
37.81,-122.24,2026,268500
37.81,-122.25,1758,259400
37.82,-122.24,3481,275700
37.82,-122.25,3337,225000
37.82,-122.25,1424,262500
37.82,-122.25,3809,218500
37.82,-122.25,3959,255000
37.83,-122.25,2376,224100
37.83,-122.25,1613,243100
37.83,-122.25,1279,231600
37.83,-122.25,5022,218500
37.83,-122.25,4190,234100
37.84,-122.23,2515,327600
37.84,-122.23,3175,347600
37.83,-122.24,2576,366100
37.85,-122.24,334,335000
37.85,-122.23,2800,373600
37.84,-122.24,3529,389500
37.85,-122.24,2612,391100
37.85,-122.22,5287,337300
37.84,-122.22,2935,295200
37.84,-122.21,3424,292300
37.83,-122.21,4991,411500
37.84,-122.2,2211,311500
37.84,-122.21,3038,325900
37.84,-122.19,1617,392600
37.84,-122.2,2865,319300
37.83,-122.21,5065,333300
37.83,-122.19,1326,335200
37.83,-122.2,1589,351200
37.83,-122.19,1791,368900
37.82,-122.19,1835,365900
37.82,-122.2,1229,366700
37.82,-122.2,3770,362800
37.81,-122.18,292,483300
37.82,-122.21,2375,331400
37.81,-122.2,2964,323500
37.8,-122.21,2833,216700
37.8,-122.21,2254,233100
37.81,-122.21,1389,296400
37.81,-122.22,1971,273700
37.8,-122.22,2183,227700
37.8,-122.22,2286,199600
37.8,-122.22,2721,239800
37.81,-122.22,2024,270100
37.81,-122.22,2944,302100
37.8,-122.23,2033,269500
37.81,-122.23,1433,314700
37.81,-122.22,2927,390100
37.81,-122.23,2315,410300
37.81,-122.24,2485,352400
37.81,-122.24,1490,287300
37.81,-122.23,2814,348700
37.81,-122.24,2093,243800
37.8,-122.24,888,211500
37.8,-122.25,2087,218400
37.81,-122.24,2513,269900
37.81,-122.25,3232,218800
37.8,-122.25,4120,225000
37.8,-122.25,2364,250000
37.8,-122.25,1471,171400
37.8,-122.25,2468,193800
37.79,-122.24,1632,125000
37.79,-122.25,1786,97500
37.79,-122.25,629,125000
37.79,-122.25,1339,138800
37.8,-122.25,1678,116700
37.8,-122.25,2344,151800
37.8,-122.24,996,127000
37.8,-122.24,1591,128600
37.8,-122.24,1586,140600
37.8,-122.24,2046,182700
37.8,-122.23,1192,146900
37.8,-122.24,1803,122800
37.8,-122.24,2838,169300
37.8,-122.23,783,126600
37.8,-122.23,1590,127900
37.8,-122.23,1746,123500
37.8,-122.23,1252,111900
37.79,-122.23,5963,112800
37.79,-122.23,1783,107900
37.79,-122.23,999,137500
37.79,-122.24,1469,105500
37.79,-122.24,1372,95500
37.79,-122.24,674,116100
37.79,-122.24,1626,112200
37.79,-122.25,175,75000
37.79,-122.25,461,112500
37.79,-122.25,902,125000
37.8,-122.26,2373,115000
37.77,-122.22,391,95000
37.77,-122.22,1137,96400
37.77,-122.23,769,72000
37.78,-122.23,472,71300
37.78,-122.23,862,80800
37.78,-122.22,1920,128800
37.78,-122.23,1420,112500
37.78,-122.23,986,119400
37.78,-122.23,2340,118100
37.79,-122.23,1696,122500
37.79,-122.23,1175,106300
37.79,-122.22,2343,132500
37.79,-122.23,610,122700
37.79,-122.23,930,113300
37.79,-122.22,1487,109500
37.79,-122.22,3424,164700
37.79,-122.21,762,125000
37.79,-122.22,2366,124700
37.79,-122.22,1826,136700
37.79,-122.22,3049,141700
37.79,-122.2,1640,150000
37.79,-122.21,1543,138800
37.79,-122.21,2364,139200
37.79,-122.21,1745,143800
37.8,-122.21,2003,156500
37.8,-122.21,2018,151000
37.8,-122.2,3045,273000
37.8,-122.2,1547,217100
37.8,-122.21,3519,187100
37.8,-122.2,2070,239600
37.8,-122.21,1321,229700
37.8,-122.19,1694,257300
37.8,-122.19,1938,246900
37.79,-122.19,968,179900
37.79,-122.2,1060,169600
37.8,-122.2,2041,203300
37.8,-122.19,1813,263400
37.79,-122.19,2718,231800
37.79,-122.19,3144,140500
37.79,-122.2,1802,126000
37.79,-122.2,882,122000
37.79,-122.2,1621,134700
37.79,-122.21,2115,139400
37.79,-122.2,2021,115400
37.78,-122.21,2239,137300
37.78,-122.21,1477,137000
37.78,-122.21,1056,142600
37.78,-122.21,898,137500
37.78,-122.22,2968,111700
37.78,-122.21,1702,126800
37.78,-122.21,881,111300
37.77,-122.22,494,114800
37.78,-122.22,1776,102300
37.78,-122.22,1678,131900
37.78,-122.22,1637,119100
37.76,-122.21,1420,80600
37.77,-122.21,591,80600
37.77,-122.21,745,88800
37.77,-122.2,2272,102400
37.77,-122.21,1234,98700
37.77,-122.21,1017,100000
37.77,-122.19,932,92300
37.77,-122.2,2689,94800
37.77,-122.2,1547,102000
37.78,-122.2,2300,158400
37.78,-122.2,1752,121600
37.78,-122.2,1867,129100
37.77,-122.2,2430,121400
37.78,-122.21,1729,102800
37.78,-122.19,1026,160000
37.77,-122.19,2170,143900
37.77,-122.19,2329,151200
37.78,-122.19,2492,164400
37.78,-122.19,2198,156500
37.78,-122.18,142,225000
37.78,-122.19,1183,174200
37.78,-122.19,1070,166900
37.78,-122.2,1766,163500
37.79,-122.18,617,253000
37.79,-122.18,1411,240700
37.79,-122.18,2109,208100
37.79,-122.19,1229,198100
37.79,-122.19,954,172800
37.81,-122.18,1643,336700
37.8,-122.18,1355,318200
37.8,-122.18,2317,285800
37.77,-122.13,2459,293000
37.79,-122.16,12842,371000
37.78,-122.17,1524,157300
37.77,-122.17,3326,135300
37.78,-122.18,1985,136700
37.78,-122.18,1642,160700
37.78,-122.17,893,140600
37.78,-122.17,653,144000
37.77,-122.16,1256,161900
37.77,-122.16,977,156300
37.77,-122.16,2324,176000
37.77,-122.16,1583,145800
37.77,-122.17,1612,141900
37.77,-122.17,2424,90700
37.76,-122.17,1594,90600
37.76,-122.17,2118,107900
37.76,-122.18,1575,107000
37.76,-122.17,1764,98200
37.76,-122.18,1187,89500
37.76,-122.18,754,93800
37.76,-122.18,2308,96700
37.77,-122.18,909,97500
37.77,-122.18,1180,97300
37.76,-122.18,2018,91200
37.76,-122.19,1368,91400
37.77,-122.18,2744,96200
37.77,-122.18,2107,120100
37.77,-122.18,1748,100000
37.76,-122.19,2024,94700
37.76,-122.2,1116,85700
37.77,-122.19,2036,89300
37.77,-122.19,1852,101400
37.76,-122.19,921,72500
37.76,-122.19,995,74100
37.75,-122.2,606,70000
37.76,-122.2,2680,84600
37.76,-122.19,1493,81800
37.75,-122.19,2207,81400
37.75,-122.19,856,81800
37.76,-122.19,1293,85800
37.74,-122.19,847,87100
37.74,-122.18,541,83500
37.73,-122.19,1066,79700
37.74,-122.19,707,83400
37.73,-122.19,1528,84700
37.73,-122.18,909,80000
37.73,-122.18,1391,76400
37.73,-122.18,548,79700
37.73,-122.18,4074,82400
37.74,-122.17,1613,97700
37.74,-122.17,463,97200
37.74,-122.17,818,101600
37.73,-122.17,1473,86500
37.74,-122.18,504,90500
37.74,-122.17,1026,107600
37.74,-122.17,769,84200
37.74,-122.18,2103,88900
37.75,-122.18,330,80700
37.75,-122.18,941,87100
37.75,-122.17,992,85100
37.75,-122.18,990,82000
37.75,-122.19,1126,82800
37.75,-122.18,1036,84600
37.75,-122.18,1047,82100
37.76,-122.17,1280,89300
37.75,-122.17,1587,98300
37.75,-122.17,1257,92300
37.75,-122.17,1218,88800
37.75,-122.17,1751,90000
37.76,-122.16,2299,95500
37.75,-122.16,2457,91700
37.75,-122.17,998,100400
37.76,-122.17,1685,94800
37.76,-122.16,1827,164300
37.76,-122.16,2781,155500
37.76,-122.15,1823,196900
37.77,-122.14,2229,279100
37.76,-122.14,1513,252800
37.76,-122.13,3266,275400
37.75,-122.12,1809,250000
37.75,-122.12,794,329800
37.75,-122.14,690,195500
37.75,-122.14,1334,255900
37.75,-122.13,414,311100
37.75,-122.13,768,330000
37.74,-122.13,4400,248900
37.75,-122.16,954,142900
37.75,-122.15,1445,126300
37.75,-122.15,1938,135800
37.74,-122.15,856,130600
37.75,-122.16,1790,107900
37.75,-122.16,617,111100
37.74,-122.15,1383,122000
37.74,-122.15,1325,118000
37.75,-122.16,1227,95200
37.75,-122.16,667,94300
37.74,-122.17,1223,92500
37.75,-122.17,1379,91800
37.74,-122.16,1534,109400
37.74,-122.16,1029,129500
37.74,-122.16,771,143400
37.74,-122.16,824,98200
37.74,-122.16,1097,103100
37.9,-122.29,1283,276800
37.9,-122.29,1604,270900
37.89,-122.29,2248,246200
37.9,-122.3,2263,224200
37.89,-122.29,1571,229100
37.89,-122.3,1520,211600
37.9,-122.3,5083,256100
37.89,-122.3,1077,206300
37.89,-122.3,1248,221300
37.89,-122.33,1342,207400
37.88,-122.34,3061,350000
37.89,-122.29,3171,218200
37.88,-122.29,1211,216700
37.89,-122.29,979,270600
37.89,-122.29,2269,261400
37.88,-122.28,1844,261300
37.89,-122.29,2178,232200
37.9,-122.27,1650,375400
37.9,-122.26,1927,357300
37.9,-122.27,2079,374400
37.9,-122.27,1803,358800
37.9,-122.27,2041,417500
37.89,-122.27,3046,430500
37.9,-122.28,2318,362900
37.9,-122.28,2003,397000
37.9,-122.28,2261,346800
37.89,-122.28,1225,327100
37.89,-122.28,2315,290100
37.89,-122.28,2070,292000
37.89,-122.28,2616,270900
37.89,-122.27,2640,371100
37.89,-122.27,1978,335600
37.9,-122.26,2220,371300
37.89,-122.25,1125,344000
37.89,-122.26,3078,342200
37.89,-122.26,3706,370900
37.89,-122.25,3000,350000
37.89,-122.25,2863,368600
37.88,-122.26,2551,391800
37.88,-122.26,2255,415300
37.88,-122.27,3360,284900
37.88,-122.27,1693,287500
37.88,-122.27,2252,272900
37.88,-122.28,2495,259600
37.88,-122.28,1193,254500
37.88,-122.28,1172,235600
37.88,-122.29,2159,218400
37.88,-122.29,2365,229200
37.88,-122.29,1895,192100
37.88,-122.29,1650,179300
37.88,-122.3,453,187500
37.88,-122.3,409,138800
37.87,-122.3,503,150000
37.86,-122.3,499,140600
37.85,-122.29,477,120000
37.88,-122.3,1647,144800
37.87,-122.3,3123,144800
37.88,-122.28,957,245500
37.87,-122.28,589,200000
37.87,-122.28,2026,173700
37.87,-122.29,1829,185600
37.87,-122.29,895,182600
37.88,-122.28,1909,227900
37.87,-122.28,3022,220700
37.87,-122.28,1777,212000
37.88,-122.27,2803,271400
37.87,-122.27,1465,268800
37.88,-122.27,2619,277800
37.88,-122.26,1149,332500
37.88,-122.26,2363,338900
37.88,-122.26,2604,287500
37.87,-122.25,685,384600
37.87,-122.25,1756,371400
37.87,-122.25,1204,350000
37.87,-122.25,609,500001
37.87,-122.26,1087,175000
37.87,-122.26,2773,241700
37.87,-122.27,3218,216700
37.87,-122.27,1350,211300
37.87,-122.27,3084,210200
37.86,-122.28,938,196400
37.87,-122.28,1813,191700
37.87,-122.28,1233,182300
37.87,-122.29,2539,175000
37.87,-122.29,1267,165900
37.86,-122.29,1665,156900
37.86,-122.28,1659,164300
37.87,-122.29,2225,150000
37.86,-122.29,2485,150500
37.86,-122.28,2031,169900
37.86,-122.28,2932,147400
37.85,-122.28,2246,152700
37.86,-122.27,2052,182700
37.86,-122.28,1999,179300
37.86,-122.28,3007,157700
37.86,-122.28,2214,153100
37.86,-122.27,1088,250000
37.86,-122.27,834,206300
37.86,-122.27,1769,218800
37.86,-122.27,2307,198200
37.86,-122.26,5161,253600
37.86,-122.26,3497,257400
37.86,-122.26,3774,289500
37.86,-122.26,2888,241700
37.86,-122.25,2153,489600
37.86,-122.25,1389,446200
37.86,-122.25,1709,456300
37.86,-122.25,1587,336800
37.86,-122.24,1668,500001
37.85,-122.24,3726,500001
37.86,-122.25,4048,376900
37.85,-122.26,3618,309600
37.85,-122.27,4076,182300
37.85,-122.27,2077,172700
37.85,-122.27,1279,150800
37.85,-122.27,1974,153600
37.85,-122.27,335,106300
37.85,-122.27,1375,142300
37.85,-122.28,610,119400
37.85,-122.28,1025,147900
37.85,-122.28,2063,132900
37.84,-122.29,1872,132500
37.83,-122.28,3108,126900
37.84,-122.3,7355,143800
37.83,-122.23,2990,500001
37.82,-122.22,2492,500001
37.82,-122.22,2991,500001
37.82,-122.23,3242,500001
37.82,-122.23,3051,466100
37.82,-122.23,3494,500001
37.83,-122.24,1757,457800
37.83,-122.24,2449,471600
37.82,-122.23,1611,500001
37.82,-122.24,3665,398600
37.82,-122.25,2474,340700
37.76,-122.23,3037,289900
37.76,-122.23,2269,335300
37.76,-122.23,1316,333000
37.77,-122.24,1153,241000
37.77,-122.23,772,189600
37.77,-122.24,1711,206300
37.77,-122.25,2650,215700
37.77,-122.25,1038,210200
37.77,-122.25,1527,208800
37.77,-122.25,859,197900
37.78,-122.26,970,201300
37.78,-122.26,1045,190800
37.78,-122.27,1408,207900
37.78,-122.27,1222,215300
37.78,-122.27,1169,212900
37.78,-122.27,2020,292700
37.79,-122.28,4145,275000
37.77,-122.3,2038,200000
37.78,-122.28,5154,173400
37.78,-122.29,1241,102200
37.77,-122.28,1468,220800
37.77,-122.28,3997,242800
37.76,-122.29,2873,265400
37.78,-122.28,1487,219000
37.77,-122.26,1670,282100
37.77,-122.27,2252,372000
37.77,-122.27,1731,225800
37.77,-122.27,1710,220800
37.77,-122.27,2388,234500
37.77,-122.25,2156,254200
37.77,-122.26,1565,351800
37.77,-122.26,1704,275000
37.77,-122.26,1210,405400
37.77,-122.26,2097,228100
37.77,-122.26,1848,234000
37.77,-122.24,955,162500
37.77,-122.25,4329,243400
37.76,-122.23,3011,273800
37.76,-122.23,1049,248500
37.76,-122.24,2504,244000
37.76,-122.24,1846,240900
37.76,-122.23,1705,306300
37.75,-122.23,1542,240000
37.75,-122.24,891,247100
37.75,-122.24,4051,286600
37.76,-122.24,2646,266700
37.76,-122.24,2428,229800
37.76,-122.24,2567,229300
37.73,-122.24,7031,228400
37.74,-122.25,1914,206200
37.72,-122.24,18634,350700
37.73,-122.27,5785,231000
37.76,-122.25,2876,252900
37.74,-122.27,6909,353900
37.77,-122.27,5679,291700
37.75,-122.28,1156,100000
37.77,-122.06,14316,341600
37.73,-122.06,3596,412500
37.71,-122.06,3541,248600
37.71,-122.07,1808,254900
37.71,-122.07,2879,241500
37.72,-122.07,3204,295200
37.72,-122.08,3866,340400
37.72,-122.08,2476,274700
37.71,-122.08,2211,238600
37.71,-122.09,2663,266400
37.72,-122.1,2599,330200
37.71,-122.11,4569,206800
37.7,-122.1,2973,209200
37.69,-122.1,3115,195800
37.71,-122.09,1843,253500
37.7,-122.09,2053,241800
37.71,-122.1,6740,252500
37.7,-122.09,1751,263900
37.71,-122.08,1663,227000
37.71,-122.08,3716,220900
37.7,-122.08,2718,259300
37.7,-122.07,1420,232500
37.7,-122.06,1893,231600
37.7,-122.06,3906,209400
37.7,-122.07,3400,223200
37.7,-122.08,3402,209900
37.7,-122.09,4413,208200
37.69,-122.07,2304,203800
37.69,-122.08,2350,195700
37.69,-122.07,5914,190500
37.69,-122.08,1575,181000
37.69,-122.08,1414,184900
37.68,-122.08,848,190800
37.68,-122.08,3051,242200
37.69,-122.09,4296,188300
37.74,-122.15,2898,183500
37.74,-122.14,1071,204200
37.73,-122.14,2619,251900
37.74,-122.15,1494,187500
37.73,-122.16,2260,198200
37.74,-122.15,1394,219000
37.73,-122.15,1028,275000
37.73,-122.15,3758,245400
37.73,-122.17,2163,177500
37.73,-122.16,1699,171600
37.73,-122.17,1555,183300
37.73,-122.16,1114,175000
37.72,-122.18,1498,156700
37.71,-122.18,726,157500
37.71,-122.17,890,179800
37.7,-122.18,2639,205500
37.7,-122.18,2562,178900
37.71,-122.19,361,262500
37.72,-122.17,3008,165000
37.72,-122.17,1369,159700
37.72,-122.17,1692,158300
37.72,-122.16,1007,144800
37.72,-122.17,3783,166300
37.71,-122.16,1507,191000
37.71,-122.16,666,175000
37.72,-122.16,2229,137500
37.73,-122.15,2215,141700
37.72,-122.15,1616,210900
37.72,-122.15,1190,198300
37.72,-122.15,4169,157400
37.73,-122.14,2024,264700
37.73,-122.14,1723,218400
37.73,-122.14,2264,235100
37.73,-122.13,1996,341800
37.72,-122.13,2862,367300
37.72,-122.13,2183,243500
37.71,-122.12,1037,167900
37.72,-122.13,1134,371200
37.72,-122.14,786,218900
37.72,-122.14,1397,202700
37.72,-122.13,2315,186200
37.71,-122.13,1613,188900
37.71,-122.13,1421,180000
37.71,-122.15,5778,202700
37.71,-122.14,3094,181700
37.71,-122.14,3905,166800
37.7,-122.13,3046,183700
37.7,-122.13,3516,218000
37.71,-122.15,998,191500
37.7,-122.15,1464,194700
37.7,-122.14,1463,187200
37.7,-122.13,4124,223100
37.69,-122.13,2380,271300
37.7,-122.14,1266,194100
37.7,-122.16,2239,190400
37.69,-122.14,1571,189100
37.69,-122.15,1246,184600
37.69,-122.15,1501,197300
37.7,-122.15,1468,192600
37.69,-122.16,1118,192200
37.7,-122.16,1097,194600
37.7,-122.16,1719,193500
37.7,-122.17,1755,202600
37.68,-122.16,1687,83300
37.69,-122.17,2262,212600
37.68,-122.18,2087,187800
37.69,-122.16,1480,205700
37.69,-122.15,1545,192900
37.68,-122.15,2632,205200
37.68,-122.15,2261,213400
37.69,-122.15,1670,183600
37.69,-122.14,2141,178400
37.68,-122.14,3337,219200
37.68,-122.14,3184,183100
37.69,-122.1,2341,157100
37.69,-122.12,1197,157800
37.69,-122.13,1131,161700
37.71,-122.12,1164,152100
37.7,-122.12,3495,144900
37.7,-122.12,2488,179900
37.69,-122.12,2681,179100
37.7,-122.12,2495,159900
37.7,-122.11,1689,161400
37.7,-122.11,1298,170400
37.7,-122.11,2693,137500
37.69,-122.1,746,178400
37.69,-122.11,2444,155200
37.69,-122.11,1472,160900
37.69,-122.12,2227,167300
37.69,-122.03,200,340000
37.64,-121.97,1283,431000
37.63,-122.02,2445,301100
37.63,-122.04,1307,241900
37.63,-122.05,3785,162500
37.66,-122.04,2031,299200
37.65,-122.04,8299,315500
37.68,-122.05,7518,216800
37.68,-122.07,1815,218100
37.68,-122.06,5367,170300
37.68,-122.08,1167,275000
37.68,-122.08,2607,184100
37.67,-122.08,493,160000
37.67,-122.09,1252,175000
37.68,-122.09,1382,197500
37.69,-122.09,500,150000
37.68,-122.09,2333,205600
37.68,-122.09,1834,170300
37.68,-122.09,1415,190900
37.68,-122.1,1352,196900
37.68,-122.1,2116,174000
37.68,-122.11,1976,170200
37.68,-122.1,1779,180900
37.67,-122.1,3659,150500
37.68,-122.1,1892,167100
37.68,-122.12,1958,148900
37.68,-122.12,1553,196400
37.68,-122.12,2412,191100
37.67,-122.11,2110,187500
37.68,-122.12,2179,180600
37.68,-122.13,2457,182800
37.68,-122.13,2147,179300
37.68,-122.13,1676,179400
37.68,-122.14,2976,210300
37.67,-122.14,3036,192300
37.67,-122.15,2472,198100
37.67,-122.14,1487,196200
37.67,-122.13,2012,181600
37.67,-122.14,3342,186900
37.67,-122.14,3156,188300
37.67,-122.13,1748,184000
37.67,-122.12,3429,184700
37.67,-122.13,3592,179900
37.67,-122.11,1035,167200
37.67,-122.11,3028,165400
37.67,-122.09,2431,154000
37.67,-122.09,2069,153500
37.66,-122.09,1340,135400
37.66,-122.09,1160,158300
37.68,-122.05,2015,240700
37.67,-122.06,3882,180700
37.67,-122.07,3239,230600
37.67,-122.07,2932,210800
37.67,-122.07,2104,165300
37.67,-122.04,1694,254200
37.67,-122.04,3000,332600
37.66,-122.04,2419,350000
37.66,-122.07,2280,161200
37.66,-122.07,5031,179300
37.66,-122.08,1547,154300
37.65,-122.07,3300,161800
37.65,-122.08,5018,161900
37.65,-122.08,1813,165400
37.66,-122.08,1997,166600
37.66,-122.1,901,149700
37.66,-122.1,686,162100
37.66,-122.1,1954,152600
37.65,-122.09,2630,195200
37.65,-122.09,1130,190600
37.65,-122.09,1184,193800
37.66,-122.1,656,200600
37.66,-122.11,2544,150000
37.66,-122.1,1305,185300
37.66,-122.11,1755,172700
37.66,-122.11,2843,174100
37.65,-122.1,2538,194400
37.64,-122.1,1784,206700
37.65,-122.1,1797,204500
37.65,-122.1,410,175000
37.65,-122.12,162,137500
37.63,-122.1,9963,187200
37.61,-122.1,2361,173600
37.66,-122.13,862,163000
37.65,-122.11,4335,331600
37.64,-122.11,1487,197600
37.64,-122.11,3592,197900
37.64,-122.12,432,228100
37.63,-122.09,1457,189500
37.64,-122.09,1578,184200
37.63,-122.1,2172,180900
37.64,-122.08,1340,172000
37.64,-122.08,1116,177900
37.64,-122.09,1885,173100
37.64,-122.09,1180,172600
37.64,-122.08,5267,182100
37.64,-122.08,1897,179500
37.63,-122.08,767,176000
37.63,-122.08,691,192600
37.64,-122.08,786,182700
37.64,-122.07,5861,134900
37.63,-122.07,2784,157600
37.64,-122.07,4524,190900
37.64,-122.06,1468,158200
37.64,-122.06,1655,350000
37.65,-122.06,1227,158200
37.64,-122.06,1160,146100
37.63,-122.04,952,226700
37.62,-122.03,2072,198700
37.62,-122.03,2964,221200
37.62,-122.04,1032,208500
37.62,-122.04,657,204200
37.62,-122.04,1540,193200
37.62,-122.03,1298,209500
37.61,-122.03,1409,164900
37.61,-122.03,1383,161400
37.61,-122.04,1151,187000
37.62,-122.04,899,190400
37.63,-122.08,1793,156600
37.62,-122.08,2485,157300
37.63,-122.07,1931,168100
37.63,-122.07,2329,177600
37.63,-122.06,6711,208900
37.63,-122.06,1939,169200
37.61,-122.05,1642,163900
37.63,-122.08,1619,164700
37.63,-122.08,517,156900
37.63,-122.09,1570,168800
37.63,-122.09,1213,174100
37.62,-122.08,1826,206500
37.61,-122.08,2261,203900
37.61,-121.99,3666,217000
37.6,-122.02,1633,159600
37.6,-122.02,2155,159800
37.6,-122.02,1295,154300
37.6,-122.02,1295,149600
37.61,-122.03,1518,188600
37.6,-122.04,3314,238500
37.6,-122.06,3009,235300
37.61,-122.08,2605,261400
37.6,-122.06,5159,234400
37.6,-122.06,1726,231700
37.59,-122.08,1816,156300
37.59,-122.07,2578,222000
37.58,-122.08,2576,254400
37.58,-122.07,1644,244300
37.58,-122.07,1606,247000
37.58,-122.08,3349,236500
37.59,-122.07,3475,151400
37.58,-122.07,1893,213700
37.59,-122.04,1727,243600
37.59,-122.05,6243,212500
37.6,-122.03,2077,214700
37.59,-122.02,1165,213200
37.59,-122.03,4371,256000
37.59,-122.01,838,237500
37.58,-122.02,3052,178100
37.58,-122.01,4313,231800
37.6,-122.09,385,147900
37.6,-122.08,3046,191700
37.57,-121.97,4342,247600
37.58,-121.96,3575,283500
37.58,-121.98,4126,216900
37.58,-121.99,2878,282500
37.58,-122.0,4405,295600
37.57,-122.01,16199,281800
37.58,-122.04,14917,269800
37.57,-122.04,5719,231200
37.57,-122.07,8647,318300
37.58,-122.06,8112,253400
37.57,-122.05,10648,278200
37.49,-121.93,1150,300000
37.52,-122.07,14014,273500
37.56,-122.02,4332,223400
37.56,-122.02,1716,214500
37.56,-122.03,4981,220200
37.56,-122.03,8444,240300
37.56,-122.01,3028,158000
37.55,-122.01,2068,224200
37.55,-122.02,1325,177200
37.56,-122.01,2563,216100
37.56,-121.99,5505,269700
37.56,-121.99,6462,231200
37.55,-121.96,3746,162500
37.56,-121.97,8918,254000
37.54,-121.97,1949,196200
37.55,-121.97,4924,189400
37.54,-121.98,5133,220800
37.55,-121.99,6647,213800
37.56,-121.94,5674,442900
37.55,-121.95,10687,333400
37.54,-121.93,1354,352400
37.54,-121.94,3715,305300
37.53,-121.94,2095,259600
37.54,-121.95,3517,248900
37.54,-121.94,2537,356000
37.54,-121.96,5106,236000
37.53,-121.96,2215,218800
37.53,-121.96,2949,228000
37.53,-121.96,2375,235900
37.54,-121.97,2312,203200
37.53,-121.97,2277,197000
37.53,-121.97,2506,236400
37.53,-121.98,2829,223200
37.53,-121.98,3179,222700
37.54,-121.99,2332,225000
37.54,-121.99,3584,240100
37.54,-121.99,3046,227900
37.55,-121.99,2414,268600
37.54,-122.0,4133,275100
37.55,-122.01,2791,256300
37.55,-122.0,6103,332400
37.54,-122.01,2572,287600
37.54,-122.0,1910,298900
37.53,-122.01,1890,287600
37.53,-121.99,5405,222200
37.52,-121.97,3761,232600
37.51,-121.97,3333,258300
37.52,-121.97,4925,230900
37.52,-121.95,3994,196900
37.51,-121.96,5811,223500
37.52,-121.96,4211,223900
37.53,-121.93,5532,243500
37.53,-121.92,28258,451100
37.49,-121.89,4909,500001
37.49,-121.92,7441,193100
37.48,-121.92,4314,264400
37.47,-121.92,2016,246900
37.47,-121.91,5377,337300
37.55,-122.03,9167,284800
37.55,-122.03,3087,217300
37.55,-122.04,3170,291700
37.54,-122.04,2145,223800
37.54,-122.05,4209,223100
37.55,-122.05,4247,211300
37.53,-122.04,4458,218500
37.5,-122.04,407,156300
37.54,-122.06,6483,248200
37.54,-122.03,1867,186000
37.54,-122.03,2918,178200
37.53,-122.04,2316,190400
